segment,start,finish,mean,sigma
1,1,58,951.062,683.746
2,59,105,917.055,699.383
3,106,166,976.092,997.489
4,167,188,844.309,621.286
5,189,259,766.107,2052.73
6,260,308,900.251,1718.4
7,309,353,828.797,2080.72
8,354,444,911.053,10978.7
9,445,507,794.232,2719.66
10,508,598,835.232,2002
11,599,641,798.182,1249
12,642,681,761.191,1007.77
13,682,758,630.169,3118.75
14,759,794,773.222,1735.12
15,795,821,845.776,1218.87
16,822,917,952.885,1952.26
17,918,957,919.925,3494.82
18,958,998,878.542,1620.77
19,999,1018,962.892,1984.41
20,1019,1040,899.859,718.694
21,1041,1120,977.54,862.811
22,1121,1146,917.114,861.663
23,1147,1186,803.288,3320.72
24,1187,1253,891.778,2557.53
25,1254,1508,1006.44,965.851
26,1509,1530,931.463,2045.76
27,1531,1576,1001.19,1570.57
28,1577,1642,1117.78,1320.8
29,1643,1673,1053.68,979.629
30,1674,1717,1119.85,908.254
31,1718,1809,1097.23,3944.34
32,1810,1840,885.19,15298.5
33,1841,2027,1102.02,3558.5
34,2028,2053,1056.19,1171.93
35,2054,2099,1006.9,878.74
36,2100,2169,1089.18,2219.37
37,2170,2223,1131.95,839.919
38,2224,2270,1072.64,867.501
39,2271,2352,1029.2,2093.99
40,2353,2401,1135.05,1195.26
41,2402,2471,1069.09,899.874
42,2472,2503,980.999,5673.12
43,2504,2532,1156.79,1325.07
44,2533,2571,1022.42,4038.6
45,2572,2660,1128.69,1663.36
46,2661,2707,1044.88,1163.57
47,2708,2750,1073.77,646.1
48,2751,2827,1031.35,1023.91
49,2828,2957,1074.26,1078.22
50,2958,3065,1038.75,1729.05
51,3066,3089,1080.73,757.202
52,3090,3180,1031.59,800.109
53,3181,3220,1010.58,2059.91
54,3221,3269,1113.04,1210.8
55,3270,3297,1000.22,1841.31
56,3298,3327,1140.37,1386.85
57,3328,3399,1023.33,3920.89
58,3400,3436,1144.85,1904.29
59,3437,3463,1005.21,2615.12
60,3464,3499,1092.45,674.891
61,3500,3521,995.385,1422.23
62,3522,3549,1047.99,694.923
63,3550,3573,995.769,504.134
64,3574,3685,1044.3,900.021
65,3686,3735,980.589,985.218
66,3736,3792,1032.62,1107.63
67,3793,3974,999.142,1616.53
68,3975,3999,935.938,2339.69
69,4000,4057,1018.86,880.229
70,4058,4193,960.522,5514.07
71,4194,4365,1060.37,1135.83
72,4366,4467,1016.83,1515.95
73,4468,4501,973.036,1451.6
74,4502,4529,935.406,3598.47
75,4530,4569,1030.08,1998.63
76,4570,4625,1062.5,1635.73
77,4626,4650,976.879,2992.01
78,4651,4694,788.506,2084.39
79,4695,4746,750.658,2823.18
80,4747,4838,881.217,2160.36
81,4839,4865,987.558,794.689
82,4866,4905,1059.77,799.85
83,4906,5005,1093.26,2992.19
84,5006,5035,929.81,5380.97
85,5036,5115,1022,5853.48
86,5116,5145,1126.04,1017.52
87,5146,5178,988.679,6093.34
88,5179,5248,865.072,4562.84
89,5249,5323,1043.86,2972.37
90,5324,5351,991.911,2958.76
91,5352,5383,1102.78,3166.44
92,5384,5422,1148.84,1599.62
93,5423,5444,1091.64,912.189
94,5445,5499,918.179,8624.31
95,5500,5582,837.266,1777.84
96,5583,5815,944.204,3135.07
97,5816,5843,867.49,846.957
98,5844,5930,680.772,3125.72
99,5931,5983,849.907,5926.82
100,5984,6011,1071.43,1884
101,6012,6122,1015.27,1544.08
102,6123,6167,906.254,3828.39
103,6168,6270,1035.2,1407.23
