size,mean,sigma
58,951.062,683.746
47,917.055,699.383
61,976.092,997.489
22,844.309,621.286
71,766.107,2052.73
49,900.251,1718.4
45,828.797,2080.72
91,911.053,10978.7
63,794.232,2719.66
91,835.232,2002
43,798.182,1249
40,761.191,1007.77
77,630.169,3118.75
36,773.222,1735.12
27,845.776,1218.87
96,952.885,1952.26
40,919.925,3494.82
41,878.542,1620.77
20,962.892,1984.41
22,899.859,718.694
80,977.54,862.811
26,917.114,861.663
40,803.288,3320.72
67,891.778,2557.53
255,1006.44,965.851
22,931.463,2045.76
46,1001.19,1570.57
66,1117.78,1320.8
31,1053.68,979.629
44,1119.85,908.254
92,1097.23,3944.34
31,885.19,15298.5
187,1102.02,3558.5
26,1056.19,1171.93
46,1006.9,878.74
70,1089.18,2219.37
54,1131.95,839.919
47,1072.64,867.501
82,1029.2,2093.99
49,1135.05,1195.26
70,1069.09,899.874
32,980.999,5673.12
29,1156.79,1325.07
39,1022.42,4038.6
89,1128.69,1663.36
47,1044.88,1163.57
43,1073.77,646.1
77,1031.35,1023.91
130,1074.26,1078.22
108,1038.75,1729.05
24,1080.73,757.202
91,1031.59,800.109
40,1010.58,2059.91
49,1113.04,1210.8
28,1000.22,1841.31
30,1140.37,1386.85
72,1023.33,3920.89
37,1144.85,1904.29
27,1005.21,2615.12
36,1092.45,674.891
22,995.385,1422.23
28,1047.99,694.923
24,995.769,504.134
112,1044.3,900.021
50,980.589,985.218
57,1032.62,1107.63
182,999.142,1616.53
25,935.938,2339.69
58,1018.86,880.229
136,960.522,5514.07
172,1060.37,1135.83
102,1016.83,1515.95
34,973.036,1451.6
28,935.406,3598.47
40,1030.08,1998.63
56,1062.5,1635.73
25,976.879,2992.01
44,788.506,2084.39
52,750.658,2823.18
92,881.217,2160.36
27,987.558,794.689
40,1059.77,799.85
100,1093.26,2992.19
30,929.81,5380.97
80,1022,5853.48
30,1126.04,1017.52
33,988.679,6093.34
70,865.072,4562.84
75,1043.86,2972.37
28,991.911,2958.76
32,1102.78,3166.44
39,1148.84,1599.62
22,1091.64,912.189
55,918.179,8624.31
83,837.266,1777.84
233,944.204,3135.07
28,867.49,846.957
87,680.772,3125.72
53,849.907,5926.82
28,1071.43,1884
111,1015.27,1544.08
45,906.254,3828.39
103,1035.2,1407.23
114,938.982,2125.28
20,854,415.804
22,998.581,1631.32
23,885.716,4237.78
61,1005.51,1799.19
66,964.402,825.017
25,869.606,1287.19
157,965.318,1543.36
106,950.078,1876.48
29,873.73,4498.08
66,810.478,3115.05
66,982.482,3947.7
26,1041.77,878.557
35,1100.45,1698.72
54,1061.78,1891.55
66,1009,1741.31
30,1092.19,1727.49
187,999.185,10469.8
52,942.91,3010.02
61,990.012,1133.48
31,843.055,11908.3
170,937.711,3071.1
75,879.064,1843.2
39,990.827,1664.49
126,945.438,2189.44
63,901.787,629.48
61,852.46,1786.5
93,935.401,1139.98
75,888.959,1333.34
25,949.376,1007.71
187,910.52,965.685
26,871.395,245.273
33,914.064,694.275
35,752.21,5554.51
129,866.462,763.377
20,978.908,2217.22
21,912.202,731.817
33,941.526,359.038
37,824.748,1934.63
47,765.753,1816.1
178,895.542,592.252
25,745.976,2745.88
32,848.856,1466.33
30,933.596,689.223
26,865.986,1917.42
72,738.825,1351.08
111,846.58,1490.44
68,765.38,1618.35
103,871.967,703.97
20,834.767,971.952
324,897.249,1297.87
131,917.798,492.501
66,878.182,568.184
46,821.502,5045.44
21,905.879,759.741
34,821.003,752.33
57,763.597,1260.57
34,842.373,756.382
48,906.577,2649.08
46,863.283,1182.08
88,787.505,2543.74
22,828.481,1589.8
131,873.633,3643.21
46,804.332,1021.22
56,833.148,1035.23
45,930.21,955.51
28,831.195,1999.81
31,891.635,1707.89
177,995.852,1339.31
20,939.064,813.373
115,1030.3,1569.98
77,1000.2,1811.79
318,1021.92,1406.3
35,842.571,5916.46
24,1020.84,3071.09
32,1057.86,416.826
38,969.342,1352.52
48,1018.24,1651.16
58,885.373,2909.09
66,776.084,8079.62
69,949.164,1194.84
25,864.375,1845.68
108,1015.19,1724.81
185,989.021,1866.39
23,1013.93,443.68
24,934.2,276.774
42,1010.05,1066.76
45,951.564,623.087
21,929.688,250.225
36,985.529,1494.87
21,930.06,997.83
138,985.282,1046.12
29,948.546,512.333
30,979.949,537.434
36,849.463,2237.33
84,917.912,1643.08
189,832.215,5840.35
36,1024.31,1418.66
423,992.83,2033.36
44,927.923,2100.01
27,994.503,1186.97
39,940.106,1337.43
65,1003.76,1429.02
22,785.351,5919.96
30,930.47,464.511
54,876.303,1254.65
37,906.864,2212.63
30,1018.26,3527.02
35,904.532,3443.77
32,1027.1,1697.14
38,983.965,1194.1
41,932.738,1339.35
59,1002.38,1088.69
59,964.117,783.184
39,904.279,2475.22
26,996.095,401.601
45,950.522,4644.21
54,846.644,7340.96
38,1024.88,1091.52
20,869.141,1245.6
116,923.021,932.216
28,881.976,1014.26
22,926.848,1183.19
30,796.494,2097.75
25,895.955,1864.29
39,1027.85,1856.15
36,1110.24,1317.59
70,1067.41,787.536
23,910.036,1706.95
602,994.421,2880.85
64,981.569,614.957
53,945.609,1096.2
33,1004.5,820.314
53,975.974,619.38
65,816.228,4131.51
118,991.347,2334.26
270,930.683,5298.01
45,984.203,1929.53
85,1027.85,1695.08
25,968.126,411.612
43,1008.54,955.705
80,967.091,844.748
110,1006.54,1317.57
35,981.185,526.574
33,954.311,1000.01
75,790.418,5586.16
644,1020.53,2061.39
43,952.581,977.706
76,1057.46,1439.96
146,1013.86,1376.24
99,835.67,3172.55
47,953.293,1726.27
27,917.125,1059.61
142,963.799,1647.06
39,906.652,3906.13
67,1050.84,1887.24
22,983.016,692.866
44,1021.66,1586.52
20,762.89,9446.15
87,917.79,2400.26
23,819.295,833.944
24,705.079,1036.23
28,572.824,1501.27
46,586.396,479.451
22,635.098,1226.29
30,802.571,4106.62
44,955.434,796.514
60,807.863,1596.21
87,708.407,3323.11
45,816.113,3541.58
66,695.893,1472.28
38,745.191,4556.43
72,761.669,2944.27
26,736.759,936.885
36,678.31,592.591
24,632.831,579.485
54,664.881,406.451
36,606.156,1753.32
24,650.066,228.102
26,609.498,133.209
22,562.087,1771.6
52,596.946,822.807
26,712.603,613.072
47,822.924,1724.78
34,933.109,2543.97
57,890.695,3702.9
65,962.983,708.199
53,970.796,1537.2
32,1003.66,913.487
25,960.313,518.416
39,985.578,1530.89
42,1057.38,1731.21
70,953.06,1656.98
42,994.607,811.278
26,972.658,489.498
24,1000.33,257.283
38,966.901,681.026
38,1025.91,745.969
53,970.668,1525.65
50,1013.59,2505.67
23,1071.67,780.38
57,994.519,1484.38
25,1032.81,320.449
138,1011.99,913.373
32,969.666,2889.57
45,1038.72,624.111
27,1002.03,913.612
20,930.848,1160.17
73,758.977,7622.27
56,835.08,3446.75
59,860.856,2976.04
494,881.422,2186.77
59,845.68,2866.79
30,964.845,2023.62
133,922.564,7111.5
27,857.951,780.546
55,825.423,1182.78
42,832.913,1810.25
38,879.133,1037.04
35,847.991,949.062
27,828.48,1177.11
23,776.123,817.893
72,809.09,4046.55
37,712.952,1582.14
60,773.974,3267.13
26,737.704,3481.67
39,633.312,4500.32
26,689.554,2510.07
59,751.252,3795.14
20,660.127,4149.88
27,556.464,2187.65
26,639.762,5087.11
32,711.62,2822.2
49,803.792,472.167
37,859.851,2747.38
41,805.652,3561.14
243,731.31,1660.96
304,666.687,2140.39
50,625.738,5446.21
57,649.739,726.434
54,735.128,1148.8
34,696.505,696.071
51,728.488,1621.55
111,792.581,4830.62
61,603.814,1019.78
26,684.192,704.816
27,739.609,3443.24
31,771.261,452.789
34,715.139,407.419
34,788.176,3326.37
98,695.63,2664.11
39,775.995,2468.15
55,734.287,3051.58
33,775.898,2459.64
30,673.858,1679.19
28,565.636,3762.64
28,634.907,1392.82
31,570.072,3185.4
24,614.704,464.741
76,679.368,5362.84
29,736.733,2747.55
20,615.096,1500.64
43,664.353,2563.21
46,752.397,3175.67
45,662.315,1300.11
22,639.865,4337.34
37,578.127,342.477
27,657.47,720.861
21,626.143,697.662
28,614.263,725.491
54,687.302,2716.87
68,579.094,1882.55
91,756.526,1004.04
111,791.362,1124.08
256,684.348,2648.75
32,646.597,2929.03
32,626.128,3764.43
24,683.841,4117.67
64,566.972,2137.03
41,678.121,3402.48
124,736.688,2472.34
83,704.684,1452.46
28,865.468,5588.06
22,818.23,1196.78
36,706.004,3922.48
46,921.707,2030.42
22,799,5546.37
99,707.795,1718.6
34,761.804,2581.23
96,643.099,2654.68
53,603.423,3302.85
82,724.064,2790.15
20,669.287,346.879
22,700.228,1661.39
41,604.921,1448.54
47,529.936,600.38
38,623.82,5610.75
55,660.704,1657.69
29,819.443,2009.41
71,878.259,1420.03
59,825.426,470.752
20,870.07,649.246
24,675.591,2092.99
20,626.827,702.758
48,586.015,792.669
46,637.975,530.479
53,554.015,2170.64
46,675.065,3559.53
35,708.685,3438.74
50,749.518,2287.87
84,714.246,1760.31
85,678.986,1487.03
41,739.093,769.895
27,822.629,1069.59
21,760.028,656.927
43,779.68,448.269
73,739.469,4234.61
122,762.47,813.034
28,785.436,255.377
73,797.101,635.933
33,713.127,1068.79
36,751.955,1054.6
234,767.057,1491.76
1187,832.338,1368.24
34,878.908,526.187
44,848.553,588.885
23,806.757,929.479
29,776.968,4804.14
20,727.97,207.244
76,776.199,1766.84
77,823.865,4379.38
47,756.38,1270.87
33,798.77,854.583
29,739.746,892.335
113,813.818,2615.5
25,688.588,2223.16
26,657.847,2363.98
23,707.811,902.288
35,736.05,2313.3
107,675.115,1548.2
36,688.785,997.962
24,725.262,1208.28
21,774.926,473.811
51,889.094,1706.56
190,822.593,2296.67
31,872.23,2061.08
23,810.123,207.691
32,852.573,1620.06
41,982.662,788.902
133,953.009,1679.39
21,935.642,676.895
49,888.757,1992.02
21,968.751,817.895
101,931.966,1480.51
58,858.943,1564.56
96,932.593,2344.12
47,891.467,3174.58
38,948.604,559.612
58,837.247,2305.27
55,946.592,1256.37
67,869.276,2099.64
194,935.713,1825.99
53,961.415,1228.46
34,820.393,2474.8
64,898.334,1647.12
28,821.501,624.832
39,939.906,1121.58
116,888.699,1801.07
44,959.517,1635.99
24,770.185,1517.52
37,869.512,2359.56
115,975.545,1693.45
20,864.064,7146.83
49,914.86,1178.09
20,871.876,1165.4
21,954.242,874.543
60,857.684,2209.85
68,778.19,4860.56
46,819.062,2680.66
133,912.574,2619.62
55,948.865,643.867
31,917.155,3461.12
168,835.575,3775.35
96,758.605,3338.62
67,839.552,2166.32
105,775.104,2538.68
33,801.506,2073.87
122,752.308,1167.33
34,858.457,513.324
94,894.283,490.558
22,813.21,1958.37
34,893.706,909.167
183,860.956,1158.85
56,710.101,1033.6
45,790.023,2372.51
35,742.436,981.656
30,776.043,279.219
33,726.559,1162.43
126,854.168,4952.16
89,805.811,1525.33
25,726.252,2810.05
86,800.186,1310.01
26,746.749,893.676
73,833.54,4587.24
53,741.553,2256.15
27,690.272,592.384
40,733.657,742.502
28,816.686,1747.32
25,729.062,730.995
34,852.483,3039.74
54,749.568,885.415
60,818.838,1241.33
29,754.582,1336.29
30,665.795,2826.98
35,700.481,1060.85
128,731.077,1712.92
26,589.668,5829.34
22,659.173,1143.96
39,617.974,1477.86
28,765.069,1347
40,856.642,383.551
22,745.03,1218.02
42,801.968,3426.95
24,741.65,621.502
36,831.816,1257.26
30,917.189,520.243
426,929.487,831.918
63,897.447,315.98
55,935.654,458.835
36,891.061,502.015
32,944.338,428.241
25,915.626,264.484
34,877.988,743.576
102,908.625,411.89
412,957.348,1001.07
99,767.061,4871.2
37,877.819,3490.22
23,949.391,1797.06
32,987.794,484.105
38,956.622,384.988
22,999.645,1107.21
155,1033.52,1265.07
59,963.984,1224.94
105,1063.16,1680.33
58,999.327,1169.9
41,1036.97,488.347
29,995.421,442.578
35,1017.86,781.097
62,1044.45,604.292
44,982.068,1267.78
76,1024.98,835.01
30,960.369,1192.51
20,993.752,408.609
24,939.455,977.928
151,999.345,1124.08
21,688.6,5121.15
253,762.336,4822.05
213,618.933,5260.43
29,939.658,1564.64
42,1062.5,2024.55
22,937.856,1607.13
51,1042.66,3550.79
20,945.174,775.559
79,790.463,6466.43
744,990.362,857.405
118,951.507,1577.07
166,1000.71,1043.75
47,983.379,577.534
215,1005.13,504.443
20,929.934,460.557
50,977.657,742.416
226,996.445,857.454
74,977.824,664.239
34,910.077,2556.76
54,682.437,1169.49
50,547.658,811.754
37,597.341,198.694
21,698.661,400.203
60,844.793,1776.23
34,877.758,1098.18
20,923.439,466.461
45,863.196,728.605
22,809.306,265.418
21,915.18,862.339
47,871.511,580.67
29,828.127,344.388
53,724.499,976.914
87,591.032,3257.38
25,706.564,3759.26
20,919.532,366.83
37,990.711,552.173
131,1015.03,709.524
441,986.716,1095.69
29,926.725,2037.77
20,696.094,2562.82
43,733.468,593.535
26,664.965,690.055
82,574.378,1410.11
45,725.349,8593.6
93,958.083,1473.84
41,911.015,1287.44
140,936.051,1848.24
38,878.685,1178.26
49,943.719,322.926
27,983.219,510.376
27,889.758,790.325
41,964.559,558.741
54,895.111,648.592
27,929.978,457.691
26,875.003,463.864
89,768.284,3992.7
23,881.455,2006.77
109,805.478,1948.68
176,735.141,2542.56
64,754.101,4912.75
41,934.261,1214.48
400,1016.39,1018.53
68,997.359,1704.62
56,955.079,664.192
71,1008.47,602.929
28,958.708,573.547
120,992.735,996.76
22,940.697,1329.25
37,1027.24,392.054
51,989.431,834.503
32,971.681,499.128
23,1033.29,722.477
25,1000.94,327.146
81,988.235,636.473
72,1009.66,759.065
77,927.254,2774.28
38,985.198,636.061
29,943.428,443.15
232,977.387,1059.47
61,934.748,1796.15
76,972.966,352.272
22,848.368,2985.82
26,959.737,745.513
29,838.296,2998.85
30,913.74,1098.87
21,724.09,874.522
27,840.633,5283.21
42,931.177,935.594
67,990.44,1168.6
